derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Joint,1,175000,7.625,175000,71,2,2,,2,5,,,2,2,2,25-34,No,4096,8.03,83800,115
Not Hispanic or Latino,White,Joint,1,865000,7,1155000,371,2,2,,2,5,,,2,1,2,25-34,No,6139,32.94,133300,168
Not Hispanic or Latino,White,Joint,1,165000,7.125,305000,137,2,2,,2,5,,,2,1,2,45-54,No,3565,55.46,135900,57
Hispanic or Latino,Joint,Joint,1,675000,6.75,695000,155,2,1,,2,3,,,2,1,2,45-54,No,4658,61.25,101900,73
Not Hispanic or Latino,White,Male,1,425000,6.125,605000,92,2,2,,2,5,,,2,1,2,65-74,Yes,6741,15.01,135900,88
Not Hispanic or Latino,White,Joint,1,435000,6.624,635000,218,2,2,,2,5,,,2,1,2,25-34,No,4606,12.18,133300,158
Not Hispanic or Latino,White,Male,1,225000,6.99,285000,70,2,2,,2,5,,,2,1,2,25-34,No,3094,44.28,75800,136
Ethnicity Not Available,Race Not Available,Joint,1,485000,7.125,485000,136,2,3,,2,6,,,2,2,2,55-64,Yes,3230,16.66,133300,97
Hispanic or Latino,White,Male,1,255000,6.625,505000,82,2,1,,2,5,,,2,1,2,25-34,No,7336,87.5,133300,62
Not Hispanic or Latino,White,Male,1,455000,9.999,655000,771,2,2,,2,5,,,2,1,2,35-44,No,3267,13.44,133300,145
Not Hispanic or Latino,White,Joint,1,255000,7.5,255000,76,2,2,,2,5,,,2,1,2,45-54,No,2452,7.83,92400,83
Not Hispanic or Latino,White,Female,1,375000,6.875,665000,191,2,2,,2,5,,,2,2,2,45-54,No,4414,15.09,135900,120
Hispanic or Latino,Black or African American,Male,1,145000,7.125,155000,41,2,1,12,2,3,5,,2,1,2,<25,No,5447,97.76,117400,22
Not Hispanic or Latino,White,Male,1,205000,7.875,405000,317,2,2,,2,5,,,2,1,2,55-64,No,5346,91.98,133300,80
Not Hispanic or Latino,White,Joint,1,285000,7.375,335000,132,2,2,,2,5,,,2,2,2,25-34,No,4606,10.51,101400,94
Ethnicity Not Available,Race Not Available,Male,1,275000,7.25,275000,105,2,3,,2,6,,,2,1,2,35-44,No,1536,58.59,117400,81
Ethnicity Not Available,Race Not Available,Female,1,215000,7.5,225000,56,2,3,,2,6,,,2,2,2,55-64,No,2948,50.34,117400,101
Not Hispanic or Latino,Asian,Male,1,435000,6.375,545000,96,2,2,,2,2,21,,2,1,2,25-34,No,6035,22.88,117400,116
Hispanic or Latino,White,Male,0,115000,NA,205000,29,9,1,,2,5,,,2,1,2,25-34,No,5330,96.81,117400,34
Hispanic or Latino,White,Male,1,395000,6.125,415000,97,2,1,,2,5,,,2,1,2,25-34,No,4269,85.57,135900,51
Not Hispanic or Latino,White,Male,1,155000,7,215000,75,2,2,,2,5,,,2,1,2,<25,No,4150,13.52,83800,145
Not Hispanic or Latino,White,Joint,1,165000,6.49,165000,65,2,2,,2,5,,,2,2,2,25-34,No,4682,10.57,83800,103
Not Hispanic or Latino,White,Joint,1,365000,7.375,465000,99,2,2,,2,5,,,2,2,2,25-34,No,7215,13.24,117400,143
Not Hispanic or Latino,White,Joint,1,385000,7,685000,161,2,2,,2,5,,,2,2,2,25-34,No,4806,22.53,135900,120
Not Hispanic or Latino,White,Female,1,175000,7.5,225000,101,2,2,,2,5,,,2,2,2,25-34,No,5865,17.73,117400,132
Hispanic or Latino,White,Joint,1,95000,6.49,645000,46,2,1,,2,5,,,2,1,2,55-64,Yes,3955,95.68,101900,85
Hispanic or Latino,White,Male,1,305000,8,415000,0,2,1,11,2,5,,,2,1,2,45-54,No,4922,31.98,101400,134
Not Hispanic or Latino,Asian,Joint,1,505000,6.49,655000,353,2,2,,2,2,21,,2,1,2,35-44,No,6515,91.82,135900,95
Not Hispanic or Latino,Black or African American,Female,1,285000,7.875,305000,96,2,2,,2,3,,,2,2,2,35-44,No,4755,47.17,117400,80
Not Hispanic or Latino,White,Female,1,315000,6.875,395000,111,2,2,,2,5,,,2,2,2,35-44,No,2608,8.05,117400,120
Not Hispanic or Latino,White,Joint,1,385000,7.25,475000,112,2,2,,2,5,,,2,1,2,25-34,No,4820,9.63,83800,108
Not Hispanic or Latino,White,Joint,1,345000,7.5,365000,124,2,2,,2,5,,,2,1,2,55-64,Yes,8776,25.98,101400,131
Not Hispanic or Latino,Asian,Female,1,355000,7.375,715000,226,2,2,,2,2,,,2,2,2,35-44,No,4020,58.51,135900,81
Hispanic or Latino,White,Joint,1,15000,0,275000,125,2,1,,2,5,,,2,1,2,25-34,No,6573,16.98,135900,95
Not Hispanic or Latino,White,Male,1,675000,7.124,905000,147,2,2,,2,5,,,2,1,2,35-44,No,5108,40.39,101900,184
Ethnicity Not Available,White,Joint,1,615000,6.875,635000,192,2,3,,2,5,,,2,1,2,25-34,No,8072,15.36,135900,107
Not Hispanic or Latino,White,Joint,1,705000,6.625,575000,399,2,2,,2,5,,,2,2,2,25-34,No,3656,30.53,135900,89
Hispanic or Latino,White,Female,1,555000,6.25,565000,123,2,1,11,2,5,,,2,2,2,25-34,No,4230,96.22,101900,34
Not Hispanic or Latino,Race Not Available,Male,0,255000,NA,335000,175,9,2,,2,6,,,2,1,2,45-54,No,5625,93.28,135900,44
Hispanic or Latino,White,Male,1,415000,6.75,425000,100,2,1,,2,5,,,2,1,2,25-34,No,3963,81,125900,79
Hispanic or Latino,White,Male,1,125000,6.875,135000,36,2,1,,2,5,,,2,1,2,45-54,No,2910,96.25,117400,18
Hispanic or Latino,Joint,Joint,1,425000,6.375,435000,122,2,1,,2,1,5,,2,1,2,25-34,No,6578,82.47,101900,93
Not Hispanic or Latino,White,Joint,1,735000,6.75,735000,241,2,2,,2,5,,,2,2,2,35-44,No,5194,17.39,135900,91
Hispanic or Latino,White,Joint,1,505000,6.624,595000,101,2,1,,2,5,,,2,1,2,35-44,No,7336,87.5,133300,62
Ethnicity Not Available,Race Not Available,Sex Not Available,1,265000,4.99,325000,193,2,3,,2,6,,,2,3,2,35-44,No,3618,17.97,88700,139
Hispanic or Latino,American Indian or Alaska Native,Female,1,15000,0,235000,52,2,1,,2,1,5,,2,2,2,<25,No,2732,33.09,117400,77
Not Hispanic or Latino,White,Joint,1,425000,6.49,505000,410,2,2,,2,5,,,2,2,2,55-64,No,3957,42.78,133300,145
Ethnicity Not Available,Race Not Available,Sex Not Available,1,15000,0,255000,111,2,3,,2,6,,,2,3,2,35-44,No,2693,39.06,117400,100
Not Hispanic or Latino,Race Not Available,Female,1,245000,7.624,315000,232,2,2,,2,6,,,2,2,2,55-64,No,3526,22.75,133300,103
Not Hispanic or Latino,Asian,Male,1,515000,7.625,645000,157,2,2,,2,2,5,27,2,1,2,25-34,No,4852,94.41,133300,61
Not Hispanic or Latino,Race Not Available,Male,1,215000,6.25,235000,77,2,2,,2,6,,,2,1,2,65-74,Yes,6107,26.1,117400,91
Ethnicity Not Available,Race Not Available,Sex Not Available,1,735000,6.75,755000,172,2,3,,2,6,,,2,3,2,65-74,Yes,5234,86.55,101900,77
Not Hispanic or Latino,White,Joint,1,395000,6.624,525000,278,2,2,,2,5,,,2,2,2,35-44,No,3786,11.15,101400,135
Ethnicity Not Available,Race Not Available,Sex Not Available,1,325000,6.875,805000,162,2,3,,2,6,,,2,3,2,55-64,No,4895,6.93,83800,100
Not Hispanic or Latino,White,Male,1,105000,6.625,135000,29,2,2,,2,5,,,2,1,2,55-64,Yes,4868,9.08,88700,107
Not Hispanic or Latino,White,Female,1,525000,7.375,555000,166,2,2,,2,5,,,2,2,2,55-64,No,5715,12.65,101400,137
Not Hispanic or Latino,White,Male,1,215000,6.624,425000,129,2,2,,2,5,,,2,1,2,45-54,No,7781,28.04,101400,117
Not Hispanic or Latino,White,Joint,1,15000,0,215000,113,2,2,,2,5,,,2,1,2,25-34,No,1745,26.76,117400,65
Not Hispanic or Latino,White,Female,1,165000,6.49,175000,52,2,2,,2,5,,,2,2,2,35-44,No,5508,8.28,83800,112
Hispanic or Latino,White,Male,1,275000,6.625,305000,95,2,1,,2,5,,,2,1,2,55-64,No,5021,85.76,117400,86
Not Hispanic or Latino,White,Joint,1,195000,6.5,265000,140,2,2,,2,5,,,2,1,2,25-34,No,1905,5.14,83800,116
Not Hispanic or Latino,White,Male,1,695000,11,2505000,700,2,2,,2,5,,,2,1,2,55-64,No,5642,13.82,101900,292
Not Hispanic or Latino,White,Female,1,165000,6.125,465000,60,2,2,,2,5,,,2,2,2,35-44,No,7091,21.6,135900,104
Not Hispanic or Latino,Asian,Joint,1,325000,7.125,395000,90,2,2,,2,2,27,,2,2,2,35-44,No,5673,38.16,133300,153
Hispanic or Latino,White,Male,1,375000,6.625,385000,95,2,1,,2,5,,,2,1,2,25-34,No,2024,22.13,133300,59
Not Hispanic or Latino,White,Male,1,115000,7.25,125000,106,2,2,,2,5,,,2,1,2,35-44,No,2917,64.18,117400,103
Not Hispanic or Latino,Black or African American,Male,1,315000,7.875,505000,0,2,2,,2,3,,,2,1,2,45-54,No,3688,98.89,133300,57
Not Hispanic or Latino,White,Male,1,335000,7.125,325000,90,2,2,,2,5,,,2,1,2,55-64,No,7076,35.02,117400,119
Not Hispanic or Latino,White,Male,1,365000,6.5,485000,480,2,2,,2,5,,,2,1,2,55-64,Yes,4724,23.81,101900,98
Hispanic or Latino,White,Joint,1,135000,7.5,145000,64,2,1,,2,5,,,2,2,2,45-54,No,4059,98.05,117400,30
Not Hispanic or Latino,White,Joint,1,355000,7.375,365000,101,2,2,,2,5,,,2,2,2,25-34,No,6679,26.98,135900,82
Not Hispanic or Latino,White,Joint,1,105000,7.25,155000,95,2,2,,2,5,,,2,1,2,65-74,Yes,5702,6.51,83800,117
Hispanic or Latino,White,Male,1,265000,6.125,345000,113,2,1,,2,5,,,2,1,2,45-54,No,5264,27.32,97400,153
Not Hispanic or Latino,White,Joint,1,415000,7.375,545000,121,2,2,,2,5,,,2,1,2,25-34,No,5109,14.31,135900,80
Not Hispanic or Latino,White,Male,1,405000,7.125,435000,175,2,2,,2,5,,,2,1,2,25-34,No,1839,13.32,117400,116
Ethnicity Not Available,Race Not Available,Sex Not Available,1,115000,6.375,115000,39,2,3,,2,6,,,2,3,2,45-54,No,5100,17.98,88700,98
Not Hispanic or Latino,White,Female,0,175000,NA,175000,52,9,2,,2,5,,,2,2,2,25-34,No,5916,10.63,83800,91
Hispanic or Latino,White,Male,1,135000,12.5,615000,115,2,1,,2,5,,,2,1,2,55-64,No,5023,80.35,101900,0
Not Hispanic or Latino,Black or African American,Female,1,125000,6.125,125000,67,2,2,,2,3,,,2,2,2,25-34,No,2932,43.72,88700,0
Hispanic or Latino,White,Female,1,485000,6.625,625000,163,2,1,,2,5,,,2,2,2,55-64,No,9136,20.92,135900,107
Ethnicity Not Available,Race Not Available,Male,1,615000,10,785000,106,2,3,,2,6,,,2,1,2,55-64,Yes,2647,16.21,133300,123
Not Hispanic or Latino,Asian,Male,1,415000,6.624,555000,161,2,2,,2,2,21,,2,1,2,25-34,No,3834,81.69,101900,76
Not Hispanic or Latino,White,Male,1,215000,7.124,225000,80,2,2,,2,5,,,2,1,2,45-54,No,5430,26.96,125900,67
Not Hispanic or Latino,White,Joint,1,315000,7.25,365000,124,2,2,,2,5,,,2,1,2,45-54,No,3050,8.49,83800,150
Joint,White,Joint,1,485000,6.625,515000,123,2,1,,2,5,,,2,1,2,35-44,No,2363,18.07,133300,148
Hispanic or Latino,White,Male,1,255000,6.75,255000,99,2,1,,2,5,,,2,1,2,35-44,No,3025,97.72,101900,50
Ethnicity Not Available,Race Not Available,Joint,0,345000,NA,345000,87,9,3,,2,6,,,2,2,2,35-44,No,4771,15.34,117400,99
Not Hispanic or Latino,Black or African American,Male,1,145000,6.625,175000,51,2,2,,2,3,,,2,1,2,55-64,No,4206,94.98,101900,88
Joint,White,Joint,1,385000,6.99,445000,127,2,2,,2,5,,,2,1,2,25-34,No,7330,31.36,135900,128
Not Hispanic or Latino,Asian,Joint,1,485000,6.124,585000,190,2,2,,2,2,23,,2,1,2,25-34,No,5705,72.87,135900,73
Not Hispanic or Latino,Black or African American,Male,1,465000,6.25,575000,136,2,2,,2,3,,,2,1,2,55-64,No,5775,96.17,101900,92
Ethnicity Not Available,Race Not Available,Sex Not Available,1,615000,6.75,635000,153,2,3,,2,6,,,2,3,2,35-44,No,3025,97.72,101900,50
Not Hispanic or Latino,White,Joint,1,355000,7.5,555000,149,2,2,,2,5,,,2,1,2,25-34,No,7265,20.72,135900,119
Hispanic or Latino,White,Joint,1,575000,7.49,605000,182,2,1,,2,5,,,2,2,2,55-64,No,7241,61.4,133300,70
Hispanic or Latino,White,Male,1,25000,0,275000,95,2,1,,2,5,,,2,1,2,45-54,No,7331,66.74,125900,91
Hispanic or Latino,White,Joint,1,375000,6.75,615000,130,2,1,,2,5,,,2,2,2,55-64,No,4814,80,133300,72
Not Hispanic or Latino,White,Joint,1,455000,5.75,495000,132,2,2,,2,5,,,2,1,2,35-44,No,5453,18.94,101900,188
Not Hispanic or Latino,White,Female,1,205000,7,215000,59,2,2,,2,5,,,2,2,2,35-44,No,2902,87.9,117400,58
Not Hispanic or Latino,Asian,Joint,1,565000,6.375,705000,136,2,2,,2,2,,,2,1,2,35-44,No,4086,26.97,117400,202
Hispanic or Latino,Race Not Available,Male,1,435000,5.625,455000,91,2,1,,2,6,,,2,1,2,35-44,No,7892,41.85,135900,90
Hispanic or Latino,White,Male,1,455000,6.625,505000,134,2,1,,2,5,,,2,1,2,45-54,No,4401,31.97,133300,84
Not Hispanic or Latino,White,Joint,1,145000,7.5,145000,85,2,2,,2,5,,,2,1,2,45-54,No,4885,8.76,83800,109
Not Hispanic or Latino,Black or African American,Joint,1,955000,9.999,1365000,1508,2,2,,2,3,,,2,2,2,55-64,No,3509,80.45,101900,109
Not Hispanic or Latino,White,Joint,1,205000,7,215000,113,2,2,,2,5,,,2,1,2,25-34,No,1745,26.76,117400,65
Not Hispanic or Latino,White,Male,1,135000,6.875,205000,48,2,2,,2,5,,,2,1,2,25-34,No,6316,24.6,117400,122
Hispanic or Latino,White,Male,1,685000,6.75,705000,165,2,1,,2,5,,,2,1,2,35-44,No,2675,60.64,101900,110
Ethnicity Not Available,White,Sex Not Available,1,15000,0,145000,43,2,3,,2,5,,,2,3,2,35-44,No,6196,58.42,117400,72
Not Hispanic or Latino,White,Male,1,205000,6.625,215000,81,2,2,,2,5,,,2,1,2,25-34,No,1371,44.42,117400,77
Not Hispanic or Latino,White,Male,1,125000,7.375,165000,320,2,2,,2,5,,,2,1,2,45-54,No,4219,33.56,135900,104
Not Hispanic or Latino,White,Female,1,405000,6.99,515000,215,2,2,,2,5,,,2,2,2,35-44,No,3521,36.52,125900,188
Not Hispanic or Latino,Asian,Joint,1,565000,6.624,635000,196,2,2,,2,2,,,2,1,2,25-34,No,3642,69.49,135900,109
Ethnicity Not Available,White,Male,1,115000,6.99,655000,102,2,3,,2,5,,,2,1,2,45-54,No,4468,29.1,133300,131
Not Hispanic or Latino,White,Female,1,325000,7.125,535000,142,2,2,,2,5,,,2,2,2,45-54,No,5193,36.34,133300,105
Hispanic or Latino,White,Male,1,615000,6.49,645000,145,2,1,,2,5,,,2,1,2,35-44,No,5230,39.35,133300,230
Not Hispanic or Latino,White,Female,1,155000,6.875,175000,52,2,2,,2,5,,,2,2,2,35-44,No,2902,87.9,117400,58
Ethnicity Not Available,White,Joint,1,295000,6.99,375000,154,2,3,,2,5,,,2,1,2,35-44,No,4993,47.93,117400,76
Not Hispanic or Latino,Asian,Male,0,335000,NA,345000,85,9,2,,2,2,21,,2,1,2,35-44,No,6669,40.76,117400,160
Not Hispanic or Latino,White,Male,1,285000,6.875,485000,68,2,2,,2,5,,,2,1,2,55-64,No,5566,13.44,133300,147
Hispanic or Latino,White,Male,1,315000,7.124,425000,127,2,1,,2,5,,,2,1,2,35-44,No,3955,95.68,101900,85
Hispanic or Latino,White,Female,1,585000,5.75,595000,140,2,1,,2,5,,,2,2,2,25-34,No,4213,93.73,135900,59
Not Hispanic or Latino,White,Male,1,355000,6.625,505000,86,2,2,,2,5,,,2,1,2,25-34,No,5389,27.89,125900,99
Not Hispanic or Latino,Asian,Joint,1,385000,6.125,485000,90,2,2,,2,2,21,,2,2,2,45-54,No,6669,40.76,117400,160
Hispanic or Latino,White,Joint,1,385000,6.49,395000,128,2,1,,2,5,,,2,1,2,<25,No,4213,93.73,135900,59
Not Hispanic or Latino,White,Joint,1,155000,7,155000,125,2,2,,2,5,,,2,2,2,<25,No,4851,13.67,88700,98
Hispanic or Latino,White,Female,1,85000,6.75,85000,36,2,1,,2,5,,,2,2,2,35-44,No,5447,97.76,117400,22
Not Hispanic or Latino,White,Male,1,685000,6.49,855000,236,2,2,,2,5,,,2,1,2,35-44,No,4500,10.53,156200,147
Not Hispanic or Latino,White,Male,1,365000,6.624,645000,129,2,2,,2,5,,,2,1,2,35-44,No,7037,21.06,135900,107
Hispanic or Latino,White,Male,1,265000,6.99,285000,195,2,1,,2,5,,,2,1,2,25-34,No,3916,36.03,117400,84
Not Hispanic or Latino,White,Male,1,335000,6.125,425000,89,2,2,,2,5,,,2,1,2,35-44,No,4582,31.01,117400,73
Not Hispanic or Latino,White,Joint,1,315000,6.125,345000,155,2,2,,2,5,,,2,1,2,35-44,No,3183,26.42,117400,86
Ethnicity Not Available,Race Not Available,Sex Not Available,1,365000,6.5,365000,95,2,3,,2,6,,,2,3,2,35-44,No,3771,26.23,135900,98
Not Hispanic or Latino,White,Male,1,275000,7.375,365000,90,2,2,,2,5,,,2,1,2,45-54,No,5916,10.63,83800,91
Not Hispanic or Latino,White,Joint,1,265000,6.875,285000,90,2,2,,2,5,,,2,1,2,35-44,No,5765,13.34,111300,86
Ethnicity Not Available,Race Not Available,Sex Not Available,1,635000,6.75,645000,155,2,3,,2,6,,,2,3,2,55-64,Yes,3661,83.15,133300,78
Not Hispanic or Latino,White,Joint,1,205000,6.99,465000,134,2,2,,2,5,,,2,2,2,45-54,No,6416,18.64,135900,95
Ethnicity Not Available,Race Not Available,Joint,1,425000,7.125,435000,151,2,3,,2,6,,,2,1,2,<25,No,3525,15.83,133300,109
Not Hispanic or Latino,White,Joint,1,455000,6.375,555000,233,2,2,,2,5,,,2,1,2,35-44,No,3239,54.71,133300,111
Ethnicity Not Available,Race Not Available,Sex Not Available,1,765000,6.99,925000,391,2,3,,2,6,,,2,3,2,35-44,No,6139,32.94,133300,168
Not Hispanic or Latino,Black or African American,Joint,1,535000,6.5,985000,123,2,2,,2,3,,,2,2,2,45-54,No,5082,25.72,133300,118
Not Hispanic or Latino,White,Joint,1,155000,7,175000,50,2,2,,2,5,,,2,1,2,65-74,Yes,4189,9.57,135900,49
Not Hispanic or Latino,White,Male,1,525000,6.625,665000,406,2,2,,2,5,,,2,1,2,55-64,No,4806,22.53,135900,120
Ethnicity Not Available,Race Not Available,Sex Not Available,1,475000,5.5,485000,158,2,3,,2,6,,,2,3,2,35-44,No,6531,97.66,133300,54
Not Hispanic or Latino,White,Joint,1,505000,6.375,535000,188,2,2,,2,5,,,2,2,2,25-34,No,5106,31.1,133300,88
Not Hispanic or Latino,White,Female,1,565000,6.99,635000,234,2,2,,2,5,,,2,2,2,25-34,No,4981,40.96,101900,198
Hispanic or Latino,White,Joint,1,615000,6.25,635000,144,2,1,,2,5,,,2,2,2,25-34,No,5659,97.33,101900,55
Not Hispanic or Latino,White,Male,1,445000,7.5,555000,116,2,2,,2,5,,,2,1,2,25-34,No,4346,17.63,135900,97
Ethnicity Not Available,Race Not Available,Sex Not Available,1,755000,6.625,765000,201,2,3,,2,6,,,2,3,2,35-44,No,6145,40.57,101900,134
Not Hispanic or Latino,Asian,Male,1,405000,6.99,1405000,691,2,2,,2,2,25,,2,1,2,55-64,No,6672,29.09,117400,247
Not Hispanic or Latino,White,Male,1,345000,8.249,425000,2203,2,2,,2,5,,,2,1,2,35-44,No,5242,11.64,117800,109
Not Hispanic or Latino,White,Joint,1,225000,7.5,675000,128,2,2,,2,5,,,2,1,2,55-64,No,5242,19.52,133300,131
Hispanic or Latino,White,Joint,1,285000,7.49,305000,138,2,1,,2,5,,,2,2,2,25-34,No,2393,18.72,117400,74
Not Hispanic or Latino,White,Joint,1,255000,6.624,435000,191,2,2,,2,5,,,2,1,2,45-54,No,2349,11.2,103900,98
Ethnicity Not Available,Race Not Available,Male,1,15000,0,275000,80,2,3,,2,6,,,2,1,2,55-64,No,4125,8.44,117400,65
Not Hispanic or Latino,White,Male,1,385000,6.99,485000,103,2,2,,2,5,,,2,1,2,45-54,No,9136,20.92,135900,107
Ethnicity Not Available,Race Not Available,Sex Not Available,1,295000,7.125,445000,170,2,3,,2,6,,,2,3,2,<25,No,5224,33.77,117400,126
Not Hispanic or Latino,White,Male,1,365000,6.625,415000,107,2,2,,2,5,,,2,1,2,25-34,No,4537,13.2,133300,135
Ethnicity Not Available,Race Not Available,Sex Not Available,1,295000,6.375,375000,88,2,3,,2,6,,,2,3,2,35-44,No,4993,47.93,117400,76
Hispanic or Latino,White,Male,1,365000,7,425000,170,2,1,,2,5,,,2,1,2,55-64,Yes,4189,9.57,135900,49
Not Hispanic or Latino,White,Joint,1,545000,6.625,575000,223,2,2,,2,5,,,2,2,2,35-44,No,5303,21.52,117400,112
Hispanic or Latino,White,Joint,1,455000,6.5,505000,107,2,1,12,2,5,,,2,1,2,25-34,No,3973,27.01,133300,90
Not Hispanic or Latino,Black or African American,Joint,1,175000,7.25,175000,137,2,2,,2,3,,,2,1,2,25-34,No,5330,96.81,117400,34
Not Hispanic or Latino,White,Male,1,425000,7.625,625000,235,2,2,,2,5,,,2,1,2,55-64,No,4920,11.71,117800,90
Not Hispanic or Latino,Race Not Available,Male,1,865000,6.124,1085000,263,2,2,,2,6,,,2,1,2,25-34,No,7237,28.51,135900,214
Not Hispanic or Latino,White,Male,1,465000,7.625,495000,136,2,2,,2,5,,,2,1,2,35-44,No,3381,34.46,117400,104
Not Hispanic or Latino,White,Male,1,285000,7.125,305000,101,2,2,,2,5,,,2,1,2,25-34,No,3038,25.61,114800,113
Not Hispanic or Latino,Black or African American,Female,1,195000,6.625,205000,48,2,2,,2,3,,,2,2,2,<25,No,3098,13.11,117400,109
Not Hispanic or Latino,White,Female,1,405000,6.625,425000,131,2,2,,2,5,,,2,2,2,35-44,No,4426,22.3,133300,133
Hispanic or Latino,Race Not Available,Female,1,445000,6.375,455000,92,2,1,11,2,6,,,2,2,2,35-44,No,4356,39.69,135900,93
Hispanic or Latino,White,Male,0,495000,NA,685000,114,9,1,,2,5,,,2,1,2,35-44,No,4014,47.81,101900,104
Not Hispanic or Latino,White,Joint,1,525000,7.49,555000,218,2,2,,2,5,,,2,2,2,25-34,No,3045,20.2,133300,167
Joint,White,Joint,1,235000,7.125,265000,66,2,2,,2,5,,,2,2,2,55-64,No,4745,22.91,117400,59
Not Hispanic or Latino,Asian,Female,1,265000,6.375,275000,88,2,2,,2,2,23,,2,2,2,25-34,No,3927,70.44,101900,122
Ethnicity Not Available,Race Not Available,Sex Not Available,1,295000,6.49,595000,151,2,3,,2,6,,,2,3,2,45-54,No,4931,72.32,101900,137
Not Hispanic or Latino,White,Male,1,425000,6.75,525000,170,2,2,,2,5,,,2,1,2,45-54,No,4898,95.51,133300,74
Not Hispanic or Latino,White,Female,1,165000,7.25,205000,91,2,2,,2,5,,,2,2,2,55-64,No,3526,22.75,133300,103
Ethnicity Not Available,Race Not Available,Female,1,575000,5.25,605000,111,2,3,,2,6,,,2,2,2,35-44,No,4979,46.5,101900,111
Hispanic or Latino,White,Joint,1,325000,6.5,525000,102,2,1,12,2,5,,,2,2,2,35-44,No,4775,83.27,133300,87
Hispanic or Latino,White,Female,1,405000,7,505000,136,2,1,13,2,5,,,2,2,2,35-44,No,2486,8.61,83800,118
Not Hispanic or Latino,Asian,Joint,1,705000,8.25,1405000,0,2,2,,2,2,,,2,1,2,45-54,No,5516,95.03,101900,69
Not Hispanic or Latino,White,Joint,1,95000,7.5,155000,87,2,2,,2,5,,,2,1,2,35-44,No,5508,8.28,83800,112
Hispanic or Latino,White,Male,1,285000,6.75,285000,73,2,1,14,2,5,,,2,1,2,<25,No,2621,92.94,117400,69
Not Hispanic or Latino,White,Joint,1,305000,7.624,375000,115,2,2,,2,5,,,2,2,2,25-34,No,5920,20.66,133300,156
Not Hispanic or Latino,Asian,Male,1,445000,6.624,555000,91,2,2,,2,2,21,,2,1,2,25-34,No,6031,72.06,135900,87
Not Hispanic or Latino,White,Female,1,295000,7.625,315000,89,2,2,,2,5,,,2,2,2,45-54,No,7781,28.04,101400,117
Not Hispanic or Latino,Black or African American,Male,1,175000,7.125,175000,50,2,2,,2,3,,,2,1,2,25-34,No,4847,82.26,117400,77
Ethnicity Not Available,Race Not Available,Male,1,205000,7.875,315000,0,2,3,,2,6,,,2,1,2,25-34,No,6009,61.74,101900,108
Hispanic or Latino,White,Male,1,335000,6.624,355000,70,2,1,,2,5,,,2,1,2,55-64,No,4085,16.18,117400,72
Hispanic or Latino,White,Male,1,155000,6.25,155000,40,2,1,,2,5,,,2,1,2,55-64,No,4274,98.18,117400,34
Not Hispanic or Latino,Asian,Female,1,395000,6.49,495000,244,2,2,,2,2,,,2,2,2,45-54,No,5006,42.53,117400,80
Ethnicity Not Available,Race Not Available,Sex Not Available,1,835000,6.75,855000,215,2,3,,2,6,,,2,3,2,35-44,No,6041,86.94,133300,76
Not Hispanic or Latino,White,Female,1,355000,7,575000,136,2,2,,2,5,,,2,2,2,25-34,No,1561,12.75,156200,103
Not Hispanic or Latino,White,Male,1,25000,0,345000,72,2,2,,2,5,,,2,1,2,35-44,No,4117,72.09,125900,87
Hispanic or Latino,White,Female,1,325000,7.125,405000,92,2,1,11,2,5,,,2,2,2,25-34,No,7399,13.69,101400,135
Not Hispanic or Latino,Race Not Available,Male,1,315000,7.125,335000,114,2,2,,2,6,,,2,1,2,35-44,No,4068,14.87,135900,103
Not Hispanic or Latino,White,Male,1,235000,6.375,235000,69,2,2,,2,5,,,2,1,2,25-34,No,7549,61.21,103900,79
Not Hispanic or Latino,Black or African American,Male,1,275000,7.625,295000,225,2,2,,2,3,,,2,1,2,55-64,Yes,5771,54.93,125900,85
Not Hispanic or Latino,White,Joint,1,945000,6.375,1215000,205,2,2,,2,5,,,2,1,2,35-44,No,8476,31.44,133300,143
Hispanic or Latino,Race Not Available,Male,1,275000,6.25,335000,74,2,1,,2,6,,,2,1,2,55-64,No,6260,91.25,133300,48
Not Hispanic or Latino,White,Joint,1,495000,7.5,825000,828,2,2,,2,5,,,2,1,2,35-44,No,3131,57.01,101900,127
Not Hispanic or Latino,Black or African American,Joint,1,565000,5.75,595000,165,2,2,,2,3,,,2,2,2,35-44,No,6035,22.88,117400,116
Ethnicity Not Available,Race Not Available,Sex Not Available,1,305000,6.75,315000,93,2,3,,2,6,,,2,3,2,35-44,No,4734,98.08,101900,64
Not Hispanic or Latino,White,Joint,1,685000,7.375,985000,352,2,2,,2,5,,,2,2,2,55-64,No,2564,11.47,135900,97
Not Hispanic or Latino,White,Female,1,175000,7.125,185000,54,2,2,,2,5,,,2,2,2,25-34,No,4096,8.03,83800,115
Not Hispanic or Latino,Black or African American,Male,1,305000,6.75,315000,117,2,2,,2,3,,,2,1,2,45-54,No,4859,96.44,133300,68
